<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>
2023.01.09,0:00:00,1.06385,1.06404,1.0636,1.06388,370
2023.01.09,1:00:00,1.06394,1.06628,1.06394,1.06623,2422
2023.01.09,2:00:00,1.06623,1.06675,1.06516,1.06612,2834
2023.01.09,3:00:00,1.06613,1.06719,1.06551,1.06667,3722
2023.01.09,4:00:00,1.06667,1.06777,1.06663,1.0677,3225
2023.01.09,5:00:00,1.06769,1.06769,1.06659,1.06675,2960
2023.01.09,6:00:00,1.06673,1.06784,1.06667,1.06766,1524
2023.01.09,7:00:00,1.06765,1.06831,1.06731,1.06772,2312
2023.01.09,8:00:00,1.06772,1.06863,1.06756,1.06818,2794
2023.01.09,9:00:00,1.06819,1.06949,1.06683,1.06733,7146
2023.01.09,10:00:00,1.06733,1.06997,1.06725,1.06904,7752
2023.01.09,11:00:00,1.06904,1.06936,1.06599,1.06724,6500
2023.01.09,12:00:00,1.06727,1.06766,1.06614,1.0669,5608
2023.01.09,13:00:00,1.06693,1.06857,1.06675,1.06843,4980
2023.01.09,14:00:00,1.06839,1.06937,1.06809,1.06889,4428
2023.01.09,15:00:00,1.06889,1.07319,1.06853,1.07252,8111
2023.01.09,16:00:00,1.07253,1.07383,1.07115,1.07282,8963
2023.01.09,17:00:00,1.07282,1.07493,1.07278,1.07403,8780
2023.01.09,18:00:00,1.07403,1.07607,1.07402,1.07582,7488
2023.01.09,19:00:00,1.07582,1.07601,1.07399,1.07503,5863
2023.01.09,20:00:00,1.07503,1.07542,1.07377,1.07433,4487
2023.01.09,21:00:00,1.07431,1.07529,1.07415,1.07518,4913
2023.01.09,22:00:00,1.07518,1.07539,1.07305,1.07311,6409
2023.01.09,23:00:00,1.07311,1.07353,1.07301,1.07318,1666
2023.01.10,0:00:00,1.07293,1.07316,1.07261,1.07315,1829
2023.01.10,1:00:00,1.07315,1.0738,1.07272,1.07325,1834
2023.01.10,2:00:00,1.07324,1.07382,1.07204,1.07275,3567
2023.01.10,3:00:00,1.07274,1.07397,1.07259,1.07362,2950
2023.01.10,4:00:00,1.07362,1.07425,1.07212,1.07308,3550
2023.01.10,5:00:00,1.07311,1.07343,1.07257,1.07324,2197
2023.01.10,6:00:00,1.07325,1.07341,1.0728,1.07307,1438
2023.01.10,7:00:00,1.07307,1.07441,1.07295,1.07427,2300
2023.01.10,8:00:00,1.0743,1.07434,1.07262,1.07341,2845
2023.01.10,9:00:00,1.07346,1.07397,1.07222,1.07318,6189
2023.01.10,10:00:00,1.07318,1.07473,1.07313,1.07386,6375
2023.01.10,11:00:00,1.07385,1.07518,1.07296,1.07461,5545
2023.01.10,12:00:00,1.07461,1.07461,1.07342,1.07365,4336
2023.01.10,13:00:00,1.07365,1.07426,1.07319,1.07352,4075
2023.01.10,14:00:00,1.0735,1.07355,1.07154,1.07194,5335
2023.01.10,15:00:00,1.07195,1.07254,1.07121,1.07217,5816
2023.01.10,16:00:00,1.07219,1.07593,1.07216,1.07407,12770
2023.01.10,17:00:00,1.07406,1.07532,1.07218,1.07277,11650
2023.01.10,18:00:00,1.07277,1.0742,1.07242,1.07365,8663
2023.01.10,19:00:00,1.07365,1.07438,1.07298,1.07334,5550
2023.01.10,20:00:00,1.07334,1.07397,1.07275,1.0738,4249
2023.01.10,21:00:00,1.07381,1.07432,1.07364,1.0741,3996
2023.01.10,22:00:00,1.07409,1.07441,1.07306,1.07361,3431
2023.01.10,23:00:00,1.07366,1.07377,1.07318,1.07334,1452
2023.01.11,0:00:00,1.07329,1.07368,1.07315,1.07342,2856
2023.01.11,1:00:00,1.07347,1.07389,1.07315,1.07383,1062
2023.01.11,2:00:00,1.07383,1.07451,1.07372,1.07451,2082
2023.01.11,3:00:00,1.07451,1.07451,1.07252,1.0731,2230
2023.01.11,4:00:00,1.07308,1.0738,1.07267,1.07268,1764
2023.01.11,5:00:00,1.07268,1.07367,1.07263,1.07334,1448
2023.01.11,6:00:00,1.0734,1.07394,1.0732,1.07386,910
2023.01.11,7:00:00,1.07387,1.07568,1.0737,1.07478,1822
2023.01.11,8:00:00,1.0748,1.07552,1.07459,1.07459,1917
2023.01.11,9:00:00,1.07459,1.07575,1.07437,1.07469,5159
2023.01.11,10:00:00,1.07469,1.07489,1.07289,1.07298,6055
2023.01.11,11:00:00,1.07298,1.07483,1.07255,1.07417,5458
2023.01.11,12:00:00,1.07417,1.07513,1.07401,1.07493,4187
2023.01.11,13:00:00,1.07493,1.07555,1.07436,1.07485,4467
2023.01.11,14:00:00,1.07485,1.07489,1.07282,1.07407,4838
2023.01.11,15:00:00,1.07407,1.07529,1.07393,1.07499,5004
2023.01.11,16:00:00,1.07499,1.07765,1.07451,1.07699,8065
2023.01.11,17:00:00,1.07699,1.07749,1.0752,1.07551,8744
2023.01.11,18:00:00,1.07551,1.07619,1.07377,1.07388,5364
2023.01.11,19:00:00,1.0739,1.07486,1.07364,1.07468,3669
2023.01.11,20:00:00,1.07467,1.07671,1.0735,1.07533,5454
2023.01.11,21:00:00,1.07533,1.07638,1.07477,1.07634,3463
2023.01.11,22:00:00,1.07634,1.07634,1.07525,1.07539,2786
2023.01.11,23:00:00,1.07537,1.0758,1.07517,1.07556,1394
2023.01.12,0:00:00,1.07535,1.07603,1.07496,1.07557,1033
2023.01.12,1:00:00,1.07584,1.07674,1.0756,1.07655,2290
2023.01.12,2:00:00,1.07655,1.07746,1.07599,1.07611,3495
2023.01.12,3:00:00,1.07612,1.07675,1.07605,1.07667,3132
2023.01.12,4:00:00,1.07667,1.07689,1.07615,1.0767,2003
2023.01.12,5:00:00,1.0767,1.07712,1.07649,1.07686,1378
2023.01.12,6:00:00,1.07686,1.07736,1.0766,1.07716,1292
2023.01.12,7:00:00,1.07718,1.07752,1.07624,1.07628,2220
2023.01.12,8:00:00,1.07628,1.0769,1.07567,1.07574,2556
2023.01.12,9:00:00,1.07571,1.07652,1.07556,1.07627,4470
2023.01.12,10:00:00,1.07626,1.07647,1.07455,1.07481,5101
2023.01.12,11:00:00,1.07478,1.07735,1.07427,1.07655,6367
2023.01.12,12:00:00,1.07654,1.07685,1.07518,1.07625,4972
2023.01.12,13:00:00,1.07625,1.07667,1.07591,1.07617,3819
