<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>
1.06869,1.06916,1.06692,1.06715,5339
1.06715,1.06798,1.06651,1.06661,6838
1.0666,1.06787,1.06434,1.06722,11945
1.06722,1.06786,1.06594,1.06733,6490
1.06734,1.06782,1.06644,1.06653,4041
1.06654,1.06654,1.06501,1.0652,2383
1.0652,1.06591,1.06465,1.06573,2542
1.06572,1.06659,1.06563,1.06649,2520
1.06649,1.06713,1.06645,1.06694,782
1.06661,1.06691,1.0664,1.06675,961
1.06675,1.06723,1.06655,1.06684,854
1.06687,1.06728,1.06582,1.06604,1708
1.06604,1.0662,1.06466,1.06514,3197
1.06514,1.06568,1.06487,1.06557,2230
1.06557,1.06559,1.06446,1.06456,1730
1.06459,1.06508,1.06454,1.06481,1146
1.06481,1.06489,1.06373,1.06414,1774
1.06413,1.06437,1.06354,1.06394,2240
1.06397,1.06448,1.06324,1.06364,3995
1.06366,1.06391,1.06262,1.06386,6447
1.06386,1.0643,1.06192,1.06239,5448
1.0624,1.06313,1.0613,1.0614,5693
1.0614,1.06307,1.06138,1.06251,4589
1.06253,1.06312,1.06047,1.0606,5144
1.0606,1.061,1.05819,1.05861,8606
1.05859,1.06075,1.05857,1.05993,9220
1.05996,1.06147,1.05937,1.06087,8670
1.06088,1.0613,1.05924,1.0594,5567
1.05943,1.05952,1.05766,1.05798,3955
1.05799,1.05942,1.05765,1.0593,4128
1.0593,1.05995,1.05889,1.05904,4243
1.05903,1.06065,1.05861,1.06005,3795
1.06005,1.06005,1.05959,1.05972,1170
1.05956,1.05977,1.05936,1.05971,404
1.05971,1.06006,1.05942,1.05981,1190
1.05981,1.06117,1.05968,1.06107,1476
1.06107,1.06144,1.06052,1.06084,2683
1.06085,1.06149,1.06019,1.06026,2311
1.06025,1.06075,1.06021,1.06062,1410
1.06062,1.06098,1.06052,1.06086,829
1.06088,1.06134,1.06083,1.06091,1145
1.06092,1.06231,1.06091,1.06213,2100
1.06213,1.0623,1.06094,1.061,3782
1.06101,1.06292,1.06101,1.06213,5221
1.06212,1.06212,1.06074,1.06099,5254
1.061,1.06233,1.06005,1.06167,4382
1.06167,1.06182,1.061,1.06147,3510
1.06147,1.06186,1.06032,1.06127,3523
1.06127,1.06297,1.06107,1.06225,5412
1.06225,1.06296,1.06115,1.06136,6902
1.06135,1.06179,1.05884,1.05977,11273
1.05977,1.06173,1.05926,1.0616,5744
1.06157,1.06254,1.06119,1.06249,4352
1.06249,1.06274,1.06201,1.06246,2647
1.06244,1.06357,1.06234,1.06348,3071
1.06347,1.06387,1.06304,1.06353,3573
1.0635,1.06351,1.06301,1.06328,1111
1.06247,1.06264,1.06217,1.06252,1161
1.06255,1.06281,1.06228,1.06255,1307
1.06258,1.06367,1.06254,1.06267,1489
1.06273,1.06381,1.0624,1.06364,1969
1.06364,1.06501,1.06281,1.06452,2105
1.06455,1.06492,1.06436,1.06458,1710
1.06458,1.06467,1.06412,1.06427,1079
1.06428,1.0649,1.06411,1.06485,1186
1.06486,1.06523,1.06373,1.06435,1928
1.06435,1.06569,1.06427,1.06485,3929
1.06479,1.06574,1.06417,1.06417,5165
1.06418,1.06468,1.06281,1.06292,4316
1.06293,1.0638,1.06253,1.06283,3295
1.06283,1.06479,1.06222,1.06394,4752
1.06394,1.06432,1.06324,1.06414,3558
1.06413,1.06583,1.06403,1.06547,4924
1.06547,1.06737,1.06503,1.06688,7022
1.06688,1.06897,1.06616,1.06788,7738
1.06788,1.06942,1.06756,1.06937,4926
1.06937,1.06945,1.068,1.06852,3238
1.06851,1.0686,1.06718,1.06738,2768
1.06737,1.06774,1.06684,1.06758,2738
1.06756,1.06784,1.06721,1.06773,3012
1.06772,1.06838,1.0676,1.0683,997
1.068,1.06814,1.06744,1.06807,1626
1.06804,1.06868,1.06773,1.06852,987
1.06852,1.06861,1.06775,1.06791,1125
1.06791,1.06888,1.06762,1.06865,1672
1.06864,1.06926,1.06843,1.06878,1682
1.06879,1.06919,1.06845,1.0691,2016
1.0691,1.06932,1.06883,1.06904,967
1.06904,1.06906,1.06814,1.06854,1086
